Id,Supplier,Recipient,No. ordered,No. ordered data uncertain,Designation,Description,Status,Status data uncertain,Year of order,Year of order data uncertain,Year(s) of deliveries,No. delivered,Year(s) of delivery or no. delivered data uncertain,Recipient Involvement,Comment
4142,France,United Kingdom,150,Yes,ASTER-15 SAAM,SAM,New,,1999,Yes,2009 - 2013,150,Yes,,For Daring (Type-45) destroyers
6964,France,United Kingdom,300,Yes,ASTER-30,SAM,New,,2001,Yes,2009 - 2013,300,Yes,,For Daring (Type-45) destroyers
15178,France,United States,66,Yes,MO-120-RT 120mm,Mortar,New,,2004,,2008 - 2013,66,Yes,,'EFSS' programme; US designation M-327
16150,France,United States,44,,PC-2.5,Diesel engine,New,,1996,Yes,2006 - 2013,36,,Yes,For 11 San Antonio AALS produced in USA
35810,France,United States,298,Yes,FLASH,ASW sonar,New,,2002,,2006 - 2013,187,Yes,Yes,AQS-22 ALFS version; for 298 MH-60R ASW helicopters produced in USA
32152,France,Uruguay,2,Yes,AS365/AS565 Panther,Helicopter,New,,2013,Yes,2013 - 2013,2,Yes,,For SAR
5602,Germany,Argentina,10,,G-120,Trainer aircraft,New,,2012,,2013 - 2013,10,Yes,,$26 m deal
4837,Germany,Bangladesh,2,,Do-228MP,MP aircraft,New,,2011,,2013 - 2013,2,,,Do-228-212NG version
36182,Germany,Belgium,4,,NF-90 NFH,ASW helicopter,New,,2001,,2013 - 2013,1,,,Part of EUR300 m deal
23711,Germany,Brazil,34,,Gepard,SPAAG,SecondHand,,2013,,2013 - 2013,8,,,Second-hand; EUR37 m deal (incl 3 more for spare parts); delivery 2013-2015
20634,Germany,Brazil,6,,MAN-280,Diesel engine,New,,2011,,2012 - 2013,6,,,For 3 VT-90M OPV from UK
34924,Germany,Canada,8,Yes,Buffel,ARV,New,Yes,2011,,2013 - 2013,4,Yes,,CAD55 m ($54 m) deal; Canadian Leopard-2A4 tanks rebuilt to Buffel ARV; delivery 2013-2014
29958,Germany,China,,Yes,BF8L,Diesel engine,New,,1981,Yes,1982 - 2013,4400,Yes,Yes,"For YW-531 (Type-63), YW-531H (Type-85), YW-534 (Type-89), YW-535 (Type-90), WZ-551 and WMZ-551 (Type-92) APC (incl IFV and other versions), PLT-02 tank destroyer, PTL-05 self-propelled mortar and Type-85 self-propelled gun produced in China; incl BF-8L413 and BF-8L513 versions"
33709,Germany,Colombia,1,,OPV-80,OPV,New,,2011,,2013 - 2013,1,,Yes,$66 m deal; Colombian designation 20 de Julio
24963,Germany,Egypt,,,Fahd,APC,New,,1978,,1986 - 2013,1250,Yes,Yes,Developed for assembly/production in Egypt; incl Fahd-240/30 IFV version
19516,Germany,Egypt,,,Terrier LAU,APV,New,,2000,Yes,2002 - 2013,60,Yes,Yes,Produced in Egypt as Kader-120
32662,Germany,Egypt,12,,MTU-595,Diesel engine,New,,2006,,2013 - 2013,2,Yes,,For 3 Ambassador-4 corvettes from USA
31438,Germany,Greece,15,,M-113,APC,SecondHand,,2012,,2013 - 2013,15,Yes,,Ex-FRG; M-577 version; EUR 0.1 m. deal
7823,Germany,Greece,350,Yes,IRIS-T,SRAAM,New,,2004,Yes,2007 - 2013,350,Yes,Yes,Incl production of components in Greece and Greece funding for development; option on 100 more
4838,Germany,India,14,,Do-228MP,MP aircraft,New,,2012,Yes,2013 - 2013,1,Yes,Yes,$280 m deal; incl for coast guard; contract probably not yet signed
18989,Germany,India,6,,MTU-8000,Diesel engine,New,,2006,,2010 - 2013,6,,,MTU-20V-8000 version; for 3 Vishwast OPV produced in India
17127,Germany,India,22250,Yes,MILAN,Anti-tank missile,New,,1979,Yes,1984 - 2013,20400,Yes,Yes,MILAN-2 and MILAN-2T version; ordered from French-FRG company; most produced in India; incl for BMP-2 IFV
38136,Germany,Indonesia,18,,G-120TP,Trainer aircraft,New,,2011,,2013 - 2013,10,Yes,,$72 m deal; delivery 2013-2014
26709,Germany,Indonesia,42,,Marder-1A3,IFV,SecondHand,,2012,Yes,2013 - 2013,2,Yes,,Ex-FRG; delivery 2013-2014
17651,Germany,Indonesia,42,,Leopard-2A4,Tank,SecondHand,,2012,,2013 - 2013,2,Yes,,Second-hand; delivery 2013-2014
35970,Germany,Indonesia,72,Yes,MAN V12,Diesel engine,New,,2009,Yes,2011 - 2013,12,Yes,,For 24 KCR-40 FAC produced in Indonesia
26079,Germany,Israel,790,Yes,MTU-883,Diesel engine,New,,2000,Yes,2002 - 2013,585,Yes,,For Merkava-4 tanks and Namer APC produced in Israel; assembled in USA from components produced in FRG
36835,Germany,Israel,2,,Dolphin/Type-800,Submarine,New,,2006,,2012 - 2013,2,,,EUR1 b deal (33% financed by FRG)
7822,Germany,Italy,444,Yes,IRIS-T,SRAAM,New,,2003,Yes,2006 - 2013,444,Yes,Yes,Incl production of components in Italy and Italian funding for development
12845,Germany,Japan,15,Yes,EC-135/EC-635,Light helicopter,New,,2009,,2009 - 2013,11,Yes,,For training; Japanese designation TH-135; delivery 2009-2017
8756,Germany,Kazakhstan,12,Yes,BK-117/EC-145,Helicopter,New,,2010,,2011 - 2013,4,Yes,,EC-145 version; assembled in Kazakhstan as KH-145 (more delivered to non-military government agencies); delivery 2011-2016
5606,Germany,Kenya,6,,G-120,Trainer aircraft,New,,2013,,2013 - 2013,6,,,G-120A-K version
6871,Germany,"Korea, South",1306,Yes,MTU-881,Diesel engine,New,,1998,Yes,1999 - 2013,760,Yes,,For K-9 self-propelled guns and K-10 ALV produced in South Korea
25872,Germany,"Korea, South",48,Yes,MTU-1163,Diesel engine,New,,2005,Yes,2008 - 2013,24,Yes,,For 24 Gumdoksuri (PKX or PKG-A) FAC produced in South Korea
17535,Germany,Latvia,5,,SWATH-125t,Patrol craft,New,,2008,Yes,2011 - 2013,4,Yes,Yes,Latvian designation Skrunda; delivery 2011-2014
26154,Germany,Netherlands,200,Yes,MTU-199,Diesel engine,New,,2006,Yes,2013 - 2013,13,Yes,,For Boxer APC produced in Netherlands; assembled in Netherlands
9146,Germany,Netherlands,8,,MAN-12V,Diesel engine,New,,2007,Yes,2011 - 2013,8,Yes,,For 2 Holland OPV produced in Netherlands and 2 from Romania
36086,Germany,Netherlands,41,,MIM-104C PAC-2,SAM,SecondHand,,2013,,2013 - 2013,41,,,Ex-FRG; 1-year loan for use with Dutch Patriot SAM systems stationed in Turkey
22123,Germany,Norway,12,,MTU-183,Diesel engine,New,,1999,Yes,2010 - 2013,12,Yes,,For 6 Skjold FAC produced in Norway
18990,Germany,Oman,6,,MTU-8000,Diesel engine,New,,2007,,2013 - 2013,4,,,For 3 Al Shamikh (Khareef) frigates from UK
883,Germany,"Philippines, the",5,,Bell-205/UH-1D,Helicopter,SecondHand,,2013,Yes,2013 - 2013,5,,,Ex-FRG
17782,Germany,Saudi Arabia,73,Yes,OM-924,Diesel engine,New,,2011,,2013 - 2013,25,Yes,,For 73 Aravis APC from France
7827,Germany,Saudi Arabia,1400,Yes,IRIS-T,SRAAM,New,,2009,,2010 - 2013,1100,Yes,,For Tornado and Typhoon combat aircraft
12849,Germany,Spain,12,,EC-135/EC-635,Light helicopter,New,,2010,,2011 - 2013,12,Yes,Yes,EUR65 m deal; for training; Spanish designation HE-26
17661,Germany,Spain,219,,Leopard-2A6,Tank,New,,1998,,2003 - 2013,219,Yes,Yes,Part of EUR1.9 b deal (offsets 80% incl production of 189 in Spain); Leopard-2E version
22122,Germany,Spain,117,Yes,MTU-183,Diesel engine,New,,2003,,2009 - 2013,117,Yes,,For 117 Pizarro (ASCOD) IFV produced in Spain
22126,Germany,Spain,21,Yes,MTU-183,Diesel engine,New,,2007,,2010 - 2013,18,Yes,,For 21 Piranha-3 APC/IFV from Switzerland
7819,Germany,Spain,700,,IRIS-T,SRAAM,New,,2009,,2011 - 2013,275,Yes,Yes,EUR247 m deal (incl production of components in Spain and Spanish funding for development
25471,Germany,Thailand,142,Yes,MTU-6R-106,Diesel engine,New,,2011,,2012 - 2013,51,Yes,,For 142 BTR-3E1 IFV from Ukraine
7828,Germany,Thailand,40,Yes,IRIS-T,SRAAM,New,,2010,,2012 - 2013,40,Yes,,For JAS-39 combat aircraft
17652,Germany,Turkey,56,,Leopard-2A4,Tank,SecondHand,Yes,2009,,2010 - 2013,56,Yes,,Second-hand but probably modernized to Leopard-2NG version in Turkey after delivery
6870,Germany,Turkey,470,Yes,MTU-881,Diesel engine,New,,2001,Yes,2004 - 2013,470,Yes,,For 170 Sabra-3 (modernized M-60) tanks from Israel and 300 K-9 self-propelled guns from South Korea
32667,Germany,Turkey,12,Yes,MTU-595,Diesel engine,New,,2008,,2011 - 2013,4,,,For 6 Heybeliyada (MilGem) frigates produced in Turkey
6872,Germany,Turkey,70,Yes,MTU-881,Diesel engine,New,,2008,,2013 - 2013,2,Yes,,For K-10 ALV from South Korea
32661,Germany,United Arab Emirates,24,Yes,MTU-595,Diesel engine,New,,2003,Yes,2011 - 2013,12,Yes,,For 6 Baynunah corvettes from France
37883,Germany,United Arab Emirates,24,Yes,MTU-2000,Diesel engine,New,,2009,,2013 - 2013,8,Yes,,For 12 Ghannatha FAC from Sweden
37874,Germany,United Arab Emirates,4,,MTU-4000,Diesel engine,New,,2010,,2013 - 2013,4,,,For 2 Falaj-2 corvettes from Italy
8748,Germany,United States,346,Yes,BK-117/EC-145,Helicopter,New,,2006,,2006 - 2013,297,Yes,Yes,$3 b 'LUH' programme (incl 20 years support); EC-145 version; US designation UH-72A Lakota
5394,Germany,United States,15,Yes,Do-328,Transport aircraft,SecondHand,Yes,2009,Yes,2009 - 2013,15,Yes,,Second-hand
15477,India,Afghanistan,3,,SA-315B Lama,Light helicopter,New,,2012,Yes,2013 - 2013,3,Yes,,Cheetal version
25467,India,Maldives,1,,Druhv,Helicopter,New,,2013,Yes,2013 - 2013,1,,,Aid
4839,India,Seychelles,2,,Do-228MP,MP aircraft,New,,2012,Yes,2013 - 2013,1,,,Aid against Somali pirates; delivery 2013-2014
21155,Iran,Huthi rebels (Yemen),10,Yes,Misagh-2,Portable SAM,New,,2012,Yes,2013 - 2013,10,Yes,,Captured by Yemen before final delivery to Huthi rebels
34961,Iran,Syria,,,Fateh-110,SSM,New,,2007,,2008 - 2013,900,Yes,Yes,Syrian designation probably Tishirin
17050,Iran,Venezuela,12,Yes,Mohajer,UAV,New,,2007,Yes,2012 - 2013,12,Yes,Yes,Probably Mohajer-3 version; Venezuelan designation probably Sant Arpia
24656,Ireland,"Macedonia, Former Yugoslav Republic of (FYROM)",4,Yes,Bell-206/OH-58,Light helicopter,SecondHand,,2011,Yes,2013 - 2013,4,Yes,,Second-hand; ordered via Israeli company; Bell-206B version
10414,Israel,Austria,150,,ORCWS,AV turret,New,,2009,,2009 - 2013,150,Yes,Yes,$25 m deal; for 150 LMV APV from Italy
12425,Israel,Azerbaijan,10,Yes,Hermes-450,UAV,New,,2008,,2011 - 2013,10,Yes,,
14713,Israel,Azerbaijan,5,Yes,Heron,UAV,New,,2011,Yes,2013 - 2013,5,Yes,,Part of $1.6 b deal
13649,Israel,Azerbaijan,5,Yes,Searcher,UAV,New,,2011,Yes,2013 - 2013,5,Yes,,Part of $1.6 b deal
12625,Israel,Belgium,32,,UT-25/UT-30,IFV turret,New,,2006,,2010 - 2013,30,Yes,,UT-30 version; for Piranha-3 IFV from Switzerland
12430,Israel,Brazil,2,,Hermes-450,UAV,New,,2012,Yes,2013 - 2013,2,,,BRL48 m ($25 m) deal; Brazilian designation RQ-450; assembled in Brazil
7791,Israel,Brazil,200,Yes,Python-4,BVRAAM,New,,2002,Yes,2010 - 2013,140,Yes,,For F-5M combat aircraft
36767,Israel,Brazil,20,Yes,Litening,Aircraft EO system,New,,2006,Yes,2011 - 2013,15,Yes,,Litening-3 version; for AMX and F-5M combat aircraft
33476,Israel,Brazil,9,,EL/M-2022,MP aircraft radar,New,,2005,Yes,2011 - 2013,7,Yes,,Part of EUR320 m 'P-X' programme for modernization of 9 P-3A ASW aircraft to P-3AM (P-3BR); EL/M-2022A(V)3 version
30907,Israel,Chile,3,,Hermes-900,UAV,New,,2011,,2013 - 2013,3,Yes,,$40 m deal
12434,Israel,Colombia,2,,Hermes-450,UAV,New,,2012,,2013 - 2013,1,Yes,,Delivery 2013-2014
30910,Israel,Colombia,1,,Hermes-900,UAV,New,,2012,,2013 - 2013,1,Yes,,
13253,Israel,Colombia,200,Yes,Griffin,Guided bomb,New,,2007,,2013 - 2013,100,Yes,,
36786,Israel,Denmark,10,Yes,Litening,Aircraft EO system,New,,2012,,2013 - 2013,10,Yes,,Litening-4 version; from US production line
28284,Israel,Germany,3000,Yes,Spike-MR/LR,Anti-tank missile,New,,2009,Yes,2010 - 2013,1120,Yes,Yes,'MELLS' programme; Spike-LR version; for Puma IFV
10280,Israel,India,18,,SPYDER-MR,SAM system,New,,2008,,2012 - 2013,6,Yes,Yes,$260 m 'LLQRM' programme
14711,Israel,India,16,Yes,Heron,UAV,New,,2009,Yes,2012 - 2013,16,Yes,,INR11.2 b ($239 m) deal
21251,Israel,India,,,LAHAT,Anti-tank missile,New,,2006,Yes,2013 - 2013,100,Yes,,For Arjun tank
7761,Israel,India,750,Yes,Derby,BVRAAM,New,,2008,Yes,2012 - 2013,300,Yes,,For SPYDER SAM systems
20775,Israel,India,750,Yes,Python-5,BVRAAM,New,,2008,,2012 - 2013,300,Yes,,For SPYDER SAM system; possibly incl production of components in India
13252,Israel,India,250,Yes,Griffin,Guided bomb,New,,2009,,2012 - 2013,250,Yes,,
13731,Israel,India,400,Yes,Barak-1,SAM,New,,2002,Yes,2005 - 2013,280,Yes,,For Delhi (Project-15) and Kolkata (Project-15A) destroyers and probably for Shivalik (Project-17) and Kamorta (Project-28) frigates
18289,Israel,India,50,Yes,Harop,SSM,New,,2009,Yes,2013 - 2013,25,Yes,,$100 m deal
34172,Israel,India,23,Yes,EL/M-2084,Air search radar,New,,2009,,2011 - 2013,13,Yes,Yes,Indian designation Arudhra
28281,Israel,Italy,990,,Spike-MR/LR,Anti-tank missile,New,,2009,,2009 - 2013,810,Yes,Yes,EUR121 m deal (incl 90 launchers; incl production of components and assembly in Italy); Spike-LR version; incl for Dardo and Freccia IFV; delivery 2009-2014
28448,Israel,Italy,750,Yes,Spike-ER,Anti-tank missile,New,,2010,,2013 - 2013,100,Yes,,For A-129 combat helicopters
37015,Israel,"Korea, South",6,Yes,SandCat Spike-NLOS,SSM launcher,New,,2011,,2013 - 2013,6,Yes,,
15569,Israel,"Korea, South",67,Yes,Spike-NLOS,SSM/ASM,New,,2011,,2013 - 2013,67,,,
16094,Israel,"Korea, South",60,Yes,EL/M-2032,Combat ac radar,New,,2009,,2013 - 2013,8,Yes,,For some 60 FA-50 combat aircraft produced in South Korea
33477,Israel,New Zealand,6,,EL/M-2022,MP aircraft radar,New,,2005,,2011 - 2013,5,Yes,,Part of NZD352 m ($260 m) modernization of 6 P-3K ASW aircraft; EL/M-2022(V)3 version; delivery 2011-2014
9896,Israel,Nigeria,3,,Shaldag,Patrol craft,New,,2012,,2013 - 2013,2,,,$19 m deal; Shaldag Mk-3 version
28274,Israel,Poland,2675,Yes,Spike-MR/LR,Anti-tank missile,New,,2003,,2004 - 2013,2675,Yes,Yes,PLN1.49 b ($425 m) deal (incl $250-260 m for Israeli producer; offsets $826 m incl production of components and assembly in Poland; incl 264 launchers); Spike-LR version
13651,Israel,Russia,10,Yes,Searcher,UAV,New,,2010,,2013 - 2013,6,Yes,,Searcher-2 version; assembled in Russia
6138,Israel,Rwanda,10,Yes,Ti-67S,Tank,SecondHand,,2012,Yes,2013 - 2013,10,Yes,,Ex-Israeli
33487,Israel,Seychelles,2,,EL/M-2022,MP aircraft radar,New,,2012,Yes,2013 - 2013,1,,,For 2 Do-228 MP aircraft from India
28267,Israel,Spain,2630,Yes,Spike-MR/LR,Anti-tank missile,New,,2006,,2010 - 2013,2500,Yes,Yes,EUR328 m deal (incl 260 launchers; offsets incl production in Spain); Spike-LR version; delivery 2010-2014
28252,Israel,Turkey,468,,Navigator,APC,New,,2009,,2010 - 2013,293,Yes,Yes,BMC-350-16 Kirpi version
12418,Israel,United Kingdom,54,,Hermes-450,UAV,New,,2005,,2012 - 2013,26,Yes,Yes,Part of GBP700 m-GBP1 b ($1.2-1.6 b) 'Watchkeeper' programme (incl GBP300m for producer of Hermes-450) most produced in UK; UK designation WK-450
36782,Israel,United States,250,Yes,Litening,Aircraft EO system,New,,2010,,2011 - 2013,75,Yes,Yes,Part of $2.3 b 'ATP-SE' programme; Litening-SE version; delivery 2011-2017
23124,Israel,Unknown country,3,,ATMOS-2000 155mm,Self-propelled gun,New,,2011,,2013 - 2013,3,Yes,,$24 m deal; recipient is African country
12755,Israel,Unknown country,2,Yes,EL/M-2055,AGS radar,New,,2008,,2013 - 2013,2,Yes,,Recipient is Far Eastern country; for use on UAV
33485,Israel,Unknown country,1,,EL/M-2022,MP aircraft radar,New,,2010,Yes,2013 - 2013,1,Yes,,For use on aerostat
38215,Israel,Viet Nam,1,Yes,EL/M-2088 AD-STAR,Air search radar,New,,2012,,2013 - 2013,1,Yes,,Probably $33 m deal
24070,Italy,Algeria,4,Yes,AW139,Helicopter,New,,2011,Yes,2013 - 2013,4,,,For SAR
32752,Italy,Austria,150,,M-65E LMV,APV,New,,2008,,2009 - 2013,150,Yes,Yes,EUR104 m deal
15972,Italy,Bangladesh,16,,Grifo,Combat ac radar,New,,2011,,2012 - 2013,16,Yes,,For 16 F-7MG (F-7BGI) combat aircraft from China
16836,Italy,Brazil,2044,Yes,VBTP Guarani,APC,New,,2009,,2012 - 2013,8,Yes,Yes,"BRL6 b (EUR2.5 b) deal; incl command, AFSV, ambulance, ARV and 120mm mortar carrier versions; delivery 2012-2030"
15963,Italy,Brazil,46,,Grifo,Combat ac radar,New,,2000,,2006 - 2013,46,Yes,,EUR60 m deal; for $285 m 'F-5BR' modernization programme of 46 F-5E combat aircraft to F-5M; Grifo-F version
16461,Italy,Brazil,43,Yes,SCP-01 Scipio,Combat ac radar,New,,2004,,2013 - 2013,6,Yes,Yes,Part of $400 m modernization of 43 AMX (A-1) combat aircraft; designed for Brazil; incl production of components in Brazil
8335,Italy,Chad,2,,C-27J Spartan,Transport aircraft,New,,2012,,2013 - 2013,1,Yes,,Delivery 2013-2014
32754,Italy,Czech Republic,90,,M-65E LMV,APV,New,,2009,,2010 - 2013,90,Yes,,CZK3.6 b ($175 m) deal (offsets 100%)
16306,Italy,Finland,3,,Gaeta,MCM ship,New,,2006,,2012 - 2013,2,,Yes,EUR245 m deal; MCMV-2010 version; incl 1 partly produced in Finland; delivery 2012-2014
29676,Italy,India,4,,Super Rapid 76mm,Naval gun,New,,2006,Yes,2013 - 2013,2,,,For 4 Saryu OPV produced in India; possibly produced in India
13443,Italy,"Korea, South",24,,Compact 76mm,Naval gun,New,,2005,Yes,2008 - 2013,12,Yes,Yes,For 24 Gumdoksuri (PKX or PKG-A) FAC produced in South Korea; probably produced in South Korea
24846,Italy,Kuwait,250,Yes,Aspide,BVRAAM,New,,2007,,2008 - 2013,250,Yes,,Part of $65 m deal; Aspide-2000 SAM version; for Skyguard AD systems
27375,Italy,Libya,20,,Puma,APV,New,Yes,2012,Yes,2013 - 2013,20,,,Possibly second-hand; aid
34446,Italy,Morocco,50,Yes,MU90 IMPACT,ASW torpedo,New,,2008,Yes,2011 - 2013,40,Yes,,For FREMM and SIGMA frigates
37147,Italy,Norway,8,,NH-90 TTH,Helicopter,New,,2001,,2011 - 2013,5,Yes,Yes,Part of $425 m deal (offsets incl production of components in Norway); NH-90NFH(G) version; for coast guard; for SAR; option on 10 more
32765,Italy,Norway,62,,M-65E LMV,APV,New,,2013,,2013 - 2013,30,Yes,,
29656,Italy,Norway,11,,Super Rapid 76mm,Naval gun,New,,2000,Yes,2006 - 2013,11,,,For 5 Nansen frigates from Spain and 6 Skjold FAC produced in Norway
29670,Italy,Oman,3,,Super Rapid 76mm,Naval gun,New,,2007,Yes,2013 - 2013,2,,,For 3 Al Shamikh frigates from UK
16110,Italy,Pakistan,10,Yes,Spada-2000,SAM system,New,,2007,,2010 - 2013,10,Yes,,EUR415 m deal; Spada-2000 Plus version
24847,Italy,Pakistan,200,Yes,Aspide,BVRAAM,New,,2007,,2010 - 2013,200,Yes,,Part of EUR415 m deal for Spada-2000 SAM systems; Aspide-2000 SAM version
24054,Italy,Panama,5,Yes,AW139,Helicopter,New,,2010,,2013 - 2013,5,,,Part of EUR200 m deal (incl 1 more for VIP transport); for coast guard
34489,Italy,Panama,19,Yes,Argos-73,Air/sea search radar,New,,2010,,2012 - 2013,19,Yes,,Designation uncertain (reported as coastal radar)
17800,Italy,Poland,313,,HITFIST,IFV turret,New,,2003,,2004 - 2013,238,Yes,Yes,$308 m deal (offsets $525 m incl production of 241 in Poland); for 313 AMV IFV from Finland
6573,Italy,Portugal,40,Yes,Black Shark,AS/ASW torpedo,New,,2005,,2011 - 2013,40,Yes,,EUR47 m ($62 m) deal (incl offsets); for Type-214 (Type-209PN) submarines
8328,Italy,Romania,7,,C-27J Spartan,Transport aircraft,New,,2007,,2010 - 2013,7,Yes,,EUR220 m deal
32762,Italy,Russia,60,Yes,M-65E LMV,APV,New,,2011,,2012 - 2013,60,Yes,,Assembled from kits in Russia
15764,Italy,Singapore,12,,M-346,Trainer/combat ac,New,,2010,,2012 - 2013,10,Yes,,EUR250 m deal (part of $411 m 'AJT' deal); based in France
29692,Italy,Thailand,1,,Super Rapid 76mm,Naval gun,New,,2009,Yes,2013 - 2013,1,,,For 1 BVT-90 (Krabi) OPV from UK
38129,Italy,Turkey,2,,ATR-72,Transport aircraft,New,,2005,,2013 - 2013,2,,,'Meltem-3' programme; ATR-72-600 version
29651,Italy,United Arab Emirates,6,,Super Rapid 76mm,Naval gun,New,,2003,Yes,2011 - 2013,4,Yes,,For 6 Baynunah corvettes from France
30328,Italy,United Arab Emirates,100,Yes,Sea Killer/Marte-2,Anti-ship missile,New,,2009,,2013 - 2013,25,Yes,,Marte-2/N version; for 12 Ghannatha FAC
20145,Italy,United Arab Emirates,6,,Orion RTN-25X,Fire control radar,New,,2004,,2011 - 2013,3,Yes,,For 6 Baynunah corvettes from France
37183,Italy,United Arab Emirates,2,,Falaj-2,Corvette,New,,2010,,2013 - 2013,2,,,Option on 2 more
21416,Italy,United Arab Emirates,1,,Abu Dhabi,Frigate,New,,2009,,2013 - 2013,1,,,AED430 m ($117 m) deal; option on 1 more
10690,Italy,United Nations,2,Yes,Falco,UAV,New,,2013,,2013 - 2013,2,Yes,,EUR10 m 3-year lease; for use with UN peacekeeping forces in DRC
8327,Italy,United States,21,,C-27J Spartan,Transport aircraft,New,,2007,,2008 - 2013,18,Yes,,"'JCA' (formerly 'FCA' or 'C-XX') programme; original plan for over 100 reduced to 78, then to 38 and in 2013 to 21"
32945,Jordan,Libya,49,Yes,Nimr Armored,APV,New,,2009,,2013 - 2013,49,Yes,,
16462,"Korea, South",Indonesia,16,,T-50 Golden Eagle,Trainer/combat ac,New,,2011,,2013 - 2013,12,Yes,,$400 m deal
25129,"Korea, South",Malaysia,2,,Gagah Samudera,Training ship,New,,2011,,2013 - 2013,1,Yes,Yes,MYR294 m deal; incl for patrol; delivery from 2013
1856,"Korea, South",Turkey,70,Yes,K-10,ALV,New,,2008,Yes,2013 - 2013,2,Yes,,Part of $998 m deal; delivery from 2013
5950,"Korea, South",Turkey,300,Yes,K-9 Thunder 155mm,Self-propelled gun,New,,2001,,2004 - 2013,300,Yes,Yes,$1-1.2 b deal (incl $60-70 m for first 8-20); Turkish designation Firtina and TUSpH Storm
17646,Netherlands,Canada,80,,Leopard-2A4,Tank,SecondHand,,2007,,2008 - 2013,42,Yes,,"Second-hand; part of CAD650 m deal, incl 20 modernized after delivery to Leopard-2A4M for operational use, 42 for training and 18 modification to ARV and AEV (20 more Leopard-2A6 bought by Canada for delivery to FRG to replace 20 delivered by FRG to Canada in 2008)"
32796,Netherlands,Egypt,3,,STING,Fire control radar,New,,2006,Yes,2013 - 2013,1,Yes,,For 3 Ambassador-4 corvettes from USA
9015,Netherlands,Estonia,81,,XA-180,APC,SecondHand,,2010,,2010 - 2013,56,Yes,,Second-hand; EEK320 m ($25-29 m) deal; incl for use in Afghanistan; delivery 2010-2015
1016,Netherlands,Germany,4,,Variant,Air/sea search radar,New,,2009,,2012 - 2013,4,Yes,,For 1 Berlin (Type-702) support ship produced in FRG and modernization of 2 Berlin ships and for 1 land-based training center
7381,Netherlands,Germany,10,,MIRADOR,EO search/fire control,New,,2002,Yes,2008 - 2013,10,Yes,,For 5 Braunschweig (K-130) frigates produced in FRG
37937,Netherlands,Honduras,2,Yes,Stan Patrol-4207,Patrol craft,New,,2012,,2013 - 2013,2,Yes,,Part of $62 m 13-year lease
14546,Netherlands,Jordan,221,Yes,AIFV-APC,APC,SecondHand,,2010,,2011 - 2013,221,Yes,,Second-hand; incl YPR-806 ARV
31424,Netherlands,Jordan,69,Yes,M-113,APC,SecondHand,,2010,,2012 - 2013,66,Yes,,Ex-Dutch; M-577 command post version
2602,Netherlands,Jordan,220,Yes,AIFV,IFV,SecondHand,,2010,,2011 - 2013,220,Yes,,Second-hand
7389,Netherlands,Malaysia,2,,MIRADOR,EO search/fire control,New,,2009,,2013 - 2013,1,,,For modernization of 2 FS-1500 (Kasturi) frigates
18822,Netherlands,Norway,44,,SQUIRE,Ground surv radar,New,,2013,,2013 - 2013,10,Yes,,
3352,Netherlands,Oman,3,,SMART,Air search radar,New,,2007,,2013 - 2013,2,,,For 3 Al Shamikh (Khareef) frigates from UK; SMART-S Mk-2 version
32802,Netherlands,Oman,3,,STING,Fire control radar,New,,2007,,2013 - 2013,2,,,For 3 Al Shamikh (Khareef) frigates from UK
18819,Netherlands,Saudi Arabia,225,Yes,SQUIRE,Ground surv radar,New,,2009,,2011 - 2013,125,Yes,,Part of 'Miksa' deal; for border security
1020,Netherlands,Thailand,1,,Variant,Air/sea search radar,New,,2009,Yes,2013 - 2013,1,,,For 1 BVT-90 (Krabi) OPV from UK
6302,Netherlands,Thailand,1,,LIROD,Fire control radar,New,,2009,Yes,2013 - 2013,1,,,For 1 BVT-90 (Krabi) OPV from UK; Lirod Mk-2 version
3354,Netherlands,Turkey,6,Yes,SMART,Air search radar,New,,2007,,2011 - 2013,2,Yes,,For 6 Heybeliyada (MilGem) frigates produced in Turkey
3359,Netherlands,Turkey,8,,SMART,Air search radar,New,,2009,Yes,2011 - 2013,7,Yes,,SMART-S Mk-2 version; for modernization of 8 MEKO-200 frigates
32803,Netherlands,Turkey,6,Yes,STING,Fire control radar,New,,2007,,2011 - 2013,2,Yes,,For 6 Heybeliyada (MilGem) frigates produced in Turkey
4806,Netherlands,United Kingdom,6,,SMART-L,Air/sea search radar,New,,2002,Yes,2010 - 2013,6,,,S-1850M version; for 6 Daring (Type-45) destroyers produced in UK
30209,Netherlands,United States,33,Yes,Stan Patrol-4708,Patrol craft,New,,2009,,2012 - 2013,5,,Yes,For coast guard
16167,Norway,Finland,,,NASAMS,SAM system,New,,2009,,2013 - 2013,2,Yes,Yes,NOK3 b ($458 m) 'MRADMS' programme
36627,Norway,Netherlands,140,Yes,Protector,APC turret,New,,2006,Yes,2013 - 2013,5,Yes,,For 140 Boxer APC produced in Netherlands
29362,Norway,Nigeria,1,Yes,Boeing-737 Classic,Transport aircraft,SecondHand,,2012,Yes,2013 - 2013,1,,,Second-hand; Boeing-737-505 version; possibly incl for civilian use
30325,Norway,Poland,38,,NSM,Anti-ship missile,New,,2010,,2013 - 2013,14,Yes,,NOK712 m ($120 m) deal; for NSM coast defence systems; delivery by 2012-15
36629,Norway,Switzerland,70,Yes,Protector,APC turret,New,,2011,Yes,2013 - 2013,70,Yes,,For Duro-3P (GMTF or RP-13) APC produced in Switzerland
